Date,Open,High,Low,Close,Adj Close,Volume,stock_name
2012-01-03,67.13999938964844,67.68000030517578,66.70999908447266,67.5199966430664,50.92008590698242,1954200,CLX
2012-01-04,67.33000183105469,67.7699966430664,66.93000030517578,67.0999984741211,50.60336685180664,1168400,CLX
2012-01-05,66.87000274658203,67.30000305175781,66.61000061035156,67.19000244140625,50.67123031616211,683400,CLX
2012-01-06,67.16999816894531,67.38999938964844,66.37000274658203,67.16000366210938,50.64860534667969,1236400,CLX
2012-01-09,67.31999969482422,67.44999694824219,66.87999725341797,67.37999725341797,50.81451416015625,650400,CLX
2012-01-10,67.52999877929688,68.05999755859375,67.41999816894531,67.95999908447266,51.25191879272461,1198400,CLX
2012-01-11,67.80000305175781,67.97000122070312,67.51000213623047,67.93000030517578,51.22930145263672,994500,CLX
2012-01-12,67.98999786376953,68.44000244140625,67.70999908447266,68.37000274658203,51.56112289428711,3210500,CLX
2012-01-13,68.0199966430664,68.1500015258789,67.5999984741211,68.02999877929688,51.30471420288086,3588700,CLX
2012-01-17,68.4800033569336,69.05000305175781,68.19000244140625,68.93000030517578,51.98345184326172,4009700,CLX
2012-01-18,69.05000305175781,69.37000274658203,68.66000366210938,69.3499984741211,52.30019760131836,1122100,CLX
2012-01-19,69.44999694824219,70.30000305175781,69.30999755859375,70.23999786376953,52.97138977050781,1984100,CLX
2012-01-20,70.22000122070312,70.22000122070312,69.33999633789062,69.98999786376953,52.7828483581543,1316500,CLX
2012-01-23,70.08000183105469,70.0999984741211,68.87000274658203,69.20999908447266,52.194610595703125,1144600,CLX
2012-01-24,68.55999755859375,68.93000030517578,67.97000122070312,68.62999725341797,52.20981979370117,1002400,CLX
2012-01-25,68.63999938964844,68.95999908447266,68.30000305175781,68.63999938964844,52.21743392944336,931700,CLX
2012-01-26,68.7300033569336,69.30000305175781,68.68000030517578,68.83999633789062,52.36958694458008,655100,CLX
2012-01-27,68.58000183105469,68.83999633789062,68.27999877929688,68.55999755859375,52.15657806396485,617600,CLX
2012-01-30,68.3499984741211,68.48999786376953,67.7699966430664,68.30999755859375,51.96639251708984,799900,CLX
2012-01-31,68.58999633789062,68.95999908447266,68.19000244140625,68.66000366210938,52.23264694213867,991000,CLX
2012-02-01,68.77999877929688,69.5999984741211,68.76000213623047,69.12999725341797,52.59019088745117,707200,CLX
2012-02-02,69.04000091552734,69.33999633789062,68.58000183105469,68.7300033569336,52.285911560058594,709200,CLX
2012-02-03,69.9800033569336,70.88999938964844,69.5199966430664,69.86000061035156,53.14554977416992,1258400,CLX
2012-02-06,69.55999755859375,69.70999908447266,69.23999786376953,69.41000366210938,52.80320739746094,1173800,CLX
2012-02-07,69.48999786376953,69.66999816894531,69.3499984741211,69.56999969482422,52.924922943115234,884300,CLX
2012-02-08,69.58999633789062,69.6500015258789,68.25,68.37999725341797,52.01963424682617,1182900,CLX
2012-02-09,68.37999725341797,68.5999984741211,67.9000015258789,68.44999694824219,52.07289505004883,795700,CLX
2012-02-10,68.0199966430664,68.18000030517578,67.47000122070312,67.75,51.54037094116211,701200,CLX
2012-02-13,68.0999984741211,68.22000122070312,67.88999938964844,68.06999969482422,51.783790588378906,486500,CLX
2012-02-14,68.16000366210938,68.52999877929688,67.62000274658203,68.08999633789062,51.79902267456055,985500,CLX
2012-02-15,68.04000091552734,68.43000030517578,67.80000305175781,68.37000274658203,52.01203155517578,905900,CLX
2012-02-16,68.37000274658203,68.69999694824219,68.13999938964844,68.61000061035156,52.194610595703125,525000,CLX
2012-02-17,68.87999725341797,68.87999725341797,68.16000366210938,68.48999786376953,52.10332489013672,838500,CLX
2012-02-21,68.66999816894531,68.76000213623047,67.5999984741211,67.70999908447266,51.50996017456055,664900,CLX
2012-02-22,67.69999694824219,67.81999969482422,67.19999694824219,67.61000061035156,51.433876037597656,808600,CLX
2012-02-23,67.68000030517578,68.41000366210938,67.45999908447266,68.11000061035156,51.81424331665039,801400,CLX
2012-02-24,68.12000274658203,68.1500015258789,67.69000244140625,67.79000091552734,51.570796966552734,1190300,CLX
2012-02-27,67.5,67.79000091552734,67.19999694824219,67.29000091552734,51.1904296875,1255400,CLX
2012-02-28,67.4000015258789,67.87999725341797,67.2699966430664,67.80999755859375,51.58601760864258,803700,CLX
2012-02-29,67.54000091552734,67.98999786376953,67.45999908447266,67.61000061035156,51.433876037597656,1274000,CLX
2012-03-01,67.5999984741211,67.93000030517578,67.44000244140625,67.75,51.54037094116211,887000,CLX
2012-03-02,67.68000030517578,67.87999725341797,67.30000305175781,67.52999877929688,51.37300491333008,819000,CLX
2012-03-05,67.5,68.11000061035156,67.44999694824219,67.91999816894531,51.66968536376953,538500,CLX
2012-03-06,67.66000366210938,68.01000213623047,67.5,67.80000305175781,51.578407287597656,810200,CLX
2012-03-07,67.70999908447266,67.81999969482422,67.31999969482422,67.55999755859375,51.39583969116211,904900,CLX
2012-03-08,67.80000305175781,67.91999816894531,67.3499984741211,67.80999755859375,51.58601760864258,650100,CLX
2012-03-09,67.80999755859375,67.91999816894531,67.45999908447266,67.91000366210938,51.66208267211914,621100,CLX
2012-03-12,67.79000091552734,68.29000091552734,67.79000091552734,68.13999938964844,51.83706665039063,770700,CLX
2012-03-13,68.20999908447266,68.63999938964844,68.1500015258789,68.62999725341797,52.20981979370117,822300,CLX
2012-03-14,68.55999755859375,68.79000091552734,68.29000091552734,68.41000366210938,52.042457580566406,619600,CLX
2012-03-15,68.41000366210938,68.87999725341797,68.33000183105469,68.75,52.30111312866211,663400,CLX
2012-03-16,68.91000366210938,68.91000366210938,67.83999633789062,68.20999908447266,51.89031600952149,1235800,CLX
2012-03-19,68.20999908447266,68.27999877929688,67.43000030517578,67.83999633789062,51.60883331298828,995500,CLX
2012-03-20,67.48999786376953,68.18000030517578,67.41999816894531,68.08000183105469,51.79143142700195,808900,CLX
2012-03-21,68.0,68.5999984741211,67.80999755859375,68.29000091552734,51.95118713378906,683200,CLX
2012-03-22,67.91999816894531,68.36000061035156,67.91999816894531,68.20999908447266,51.89031600952149,630800,CLX
2012-03-23,68.2300033569336,68.23999786376953,67.6500015258789,67.98999786376953,51.72294235229492,654500,CLX
2012-03-26,68.13999938964844,68.47000122070312,67.87000274658203,68.31999969482422,51.97399139404297,905300,CLX
2012-03-27,68.5,68.80000305175781,68.05000305175781,68.1500015258789,51.84468460083008,1005700,CLX
2012-03-28,68.19999694824219,68.70999908447266,68.19999694824219,68.41000366210938,52.042457580566406,995000,CLX
2012-03-29,68.20999908447266,68.6500015258789,67.68000030517578,68.3499984741211,51.99680709838867,995800,CLX
2012-03-30,68.56999969482422,68.9800033569336,68.44999694824219,68.75,52.30111312866211,790100,CLX
2012-04-02,68.4800033569336,70.08999633789062,68.30999755859375,69.31999969482422,52.73473739624024,1407800,CLX
2012-04-03,69.33999633789062,70.08000183105469,69.29000091552734,69.69999694824219,53.02381896972656,1021900,CLX
2012-04-04,69.41999816894531,69.52999877929688,69.05000305175781,69.05999755859375,52.53694152832031,689700,CLX
2012-04-05,69.0,69.0,68.30999755859375,68.95999908447266,52.46086883544922,1018100,CLX
2012-04-09,68.52999877929688,68.87000274658203,68.30999755859375,68.87000274658203,52.39241027832031,998800,CLX
2012-04-10,68.87000274658203,69.0,68.51000213623047,68.87999725341797,52.4000129699707,1213800,CLX
2012-04-11,69.0999984741211,69.52999877929688,69.06999969482422,69.4800033569336,52.85646438598633,912500,CLX
2012-04-12,69.51000213623047,69.8499984741211,69.08000183105469,69.8499984741211,53.137939453125,3043100,CLX
2012-04-13,69.72000122070312,70.36000061035156,69.61000061035156,70.2300033569336,53.42702865600586,3412100,CLX
2012-04-16,70.33000183105469,70.4000015258789,69.93000030517578,70.08000183105469,53.31291961669922,3218800,CLX
2012-04-17,70.16999816894531,70.3499984741211,69.75,70.33999633789062,53.510684967041016,1048300,CLX
2012-04-18,70.18000030517578,70.55000305175781,69.93000030517578,70.38999938964844,53.54872894287109,540300,CLX
2012-04-19,70.18000030517578,70.58999633789062,69.91000366210938,70.0,53.25205612182617,750900,CLX
2012-04-20,70.19000244140625,70.6500015258789,69.94999694824219,70.23999786376953,53.43461608886719,1348400,CLX
2012-04-23,69.5,69.5,68.77999877929688,69.0199966430664,52.95890808105469,1002700,CLX
2012-04-24,69.26000213623047,69.56999969482422,69.12000274658203,69.43000030517578,53.27350234985352,744200,CLX
2012-04-25,69.75,69.9800033569336,69.44000244140625,69.81999969482422,53.57275390625,486200,CLX
2012-04-26,69.75,70.30000305175781,69.66999816894531,70.04000091552734,53.74156188964844,558700,CLX
2012-04-27,69.83999633789062,70.22000122070312,69.72000122070312,69.77999877929688,53.54205703735352,822300,CLX
2012-04-30,69.8499984741211,70.12000274658203,69.47000122070312,70.0999984741211,53.7875862121582,1293500,CLX
2012-05-01,69.98999786376953,70.48999786376953,69.9000015258789,70.0199966430664,53.726192474365234,1357100,CLX
2012-05-02,68.7300033569336,68.75,66.75,67.80000305175781,52.02279281616211,3932100,CLX
2012-05-03,67.94000244140625,68.19000244140625,66.72000122070312,67.02999877929688,51.43197250366211,1702100,CLX
2012-05-04,66.94999694824219,67.5,66.80999755859375,67.45999908447266,51.76191329956055,1507000,CLX
2012-05-07,67.41999816894531,68.25,67.30000305175781,68.16999816894531,52.30668640136719,1431000,CLX
2012-05-08,67.94000244140625,68.61000061035156,67.73999786376953,68.48999786376953,52.5522346496582,1486200,CLX
